index,nb_expr_total,nb_expr_ok,nb_expr_absentes,expr_absentes
974,5,5,0,[]
975,5,3,2,"['valeurs du fair-play', 'initiatives locales']"
976,5,5,0,[]
977,6,6,0,[]
978,6,4,2,"['champs du monde', 'environnement compétitif']"
979,5,5,0,[]
980,5,5,0,[]
981,5,5,0,[]
982,5,4,1,['initiatives écologiques']
983,5,5,0,[]
984,5,5,0,[]
985,5,4,1,['partager expériences']
986,5,5,0,[]
987,5,5,0,[]
988,5,5,0,[]
989,6,5,1,['réduction dépendance']
990,5,5,0,[]
991,6,6,0,[]
992,5,5,0,[]
993,5,5,0,[]
994,6,6,0,[]
995,5,5,0,[]
996,5,5,0,[]
997,5,5,0,[]
998,5,4,1,['partenaire harmonieux']
999,5,3,2,"['programmes de réintroduction', 'protection des espèces']"
1000,5,5,0,[]
1001,6,4,2,"['rétrgaming', 'histoire du développement vidéoludique']"
1002,5,5,0,[]
1003,6,6,0,[]
1004,6,6,0,[]
1005,5,5,0,[]
1006,5,5,0,[]
1007,5,5,0,[]
1008,3,3,0,[]
1009,5,5,0,[]
1010,6,5,1,['sorties de nouveaux titres']
1011,5,5,0,[]
1012,5,3,2,"['régulation des jeux vidéo', 'société numérique']"
1013,5,5,0,[]
1014,6,6,0,[]
1015,5,5,0,[]
1016,5,3,2,"['lutte pour la liberté', 'violation des droits']"
1017,6,6,0,[]
1018,5,4,1,['collaborations marques-stars']
1019,5,5,0,[]
1020,5,4,1,['échanges de biens']
1021,5,5,0,[]
1022,5,5,0,[]
1023,5,5,0,[]
1024,5,5,0,[]
1025,5,5,0,[]
